activity subject tBodyAcc-mean()-X tBodyAcc-mean()-Y tBodyAcc-mean()-Z tBodyAcc-std()-X tBodyAcc-std()-Y tBodyAcc-std()-Z tGravityAcc-mean()-X tGravityAcc-mean()-Y tGravityAcc-mean()-Z tGravityAcc-std()-X tGravityAcc-std()-Y tGravityAcc-std()-Z tBodyAccJerk-mean()-X tBodyAccJerk-mean()-Y tBodyAccJerk-mean()-Z tBodyAccJerk-std()-X tBodyAccJerk-std()-Y tBodyAccJerk-std()-Z tBodyGyro-mean()-X tBodyGyro-mean()-Y tBodyGyro-mean()-Z tBodyGyro-std()-X tBodyGyro-std()-Y tBodyGyro-std()-Z tBodyGyroJerk-mean()-X tBodyGyroJerk-mean()-Y tBodyGyroJerk-mean()-Z tBodyGyroJerk-std()-X tBodyGyroJerk-std()-Y tBodyGyroJerk-std()-Z tBodyAccMag-mean() tBodyAccMag-std() tGravityAccMag-mean() tGravityAccMag-std() tBodyAccJerkMag-mean() tBodyAccJerkMag-std() tBodyGyroMag-mean() tBodyGyroMag-std() tBodyGyroJerkMag-mean() tBodyGyroJerkMag-std() fBodyAcc-mean()-X fBodyAcc-mean()-Y fBodyAcc-mean()-Z fBodyAcc-std()-X fBodyAcc-std()-Y fBodyAcc-std()-Z fBodyAccJerk-mean()-X fBodyAccJerk-mean()-Y fBodyAccJerk-mean()-Z fBodyAccJerk-std()-X fBodyAccJerk-std()-Y fBodyAccJerk-std()-Z fBodyGyro-mean()-X fBodyGyro-mean()-Y fBodyGyro-mean()-Z fBodyGyro-std()-X fBodyGyro-std()-Y fBodyGyro-std()-Z fBodyAccMag-mean() fBodyAccMag-std() fBodyBodyAccJerkMag-mean() fBodyBodyAccJerkMag-std() fBodyBodyGyroMag-mean() fBodyBodyGyroMag-std() fBodyBodyGyroJerkMag-mean() fBodyBodyGyroJerkMag-std()
STANDING            1 0.2656969 -0.01829817 -0.1078457 -0.5457953 -0.3677162 -0.5026457 0.7448674 -0.08255626  0.07233987 -0.9598594 -0.9511506 -0.9258176 0.07709305  0.0165908439 -0.0091075873 -0.5247219 -0.4704124 -0.7173223 -0.0208764064 -0.08807227 0.08626417 -0.6865557 -0.4509798 -0.5974961 -0.09711202 -0.04171648 -0.04713940 -0.6378127 -0.6344722 -0.6645920 -0.45363294 -0.4970964 -0.45363294 -0.4970964 -0.5454316 -0.5159222 -0.475404786 -0.49983959 -0.6395174 -0.6520508 -0.5318952 -0.4064354 -0.5964112 -0.5530606 -0.39015094 -0.4985831 -0.5473489 -0.5073436 -0.6953051 -0.5439798 -0.4662517 -0.7378619 -0.6232192 -0.5053094 -0.5535291 -0.7082634 -0.4298258 -0.6504762 -0.4784485 -0.5897102 -0.4990758 -0.5418231 -0.5350028 -0.5665767 -0.6459707 -0.6858113
WALKING_DOWNSTAIRS  2 0.2731131 -0.01913232 -0.1156500 -0.6055865 -0.4289630 -0.5893601 0.6607829 -0.14721989  0.13486534 -0.9630155 -0.9600336 -0.9453654 0.07853532  0.0070877125  0.0007557607 -0.5578096 -0.4918759 -0.7418854 -0.0517030658 -0.05684202 0.08725994 -0.7106489 -0.7229437 -0.6348889 -0.08755875 -0.04339868 -0.05575418 -0.6716791 -0.7835955 -0.6746119 -0.53528180 -0.5528125 -0.53528180 -0.5528125 -0.5877774 -0.5121153 -0.614771055 -0.68058489 -0.7465595 -0.7400887 -0.5737709 -0.4325666 -0.6300812 -0.6197881 -0.46472386 -0.6006786 -0.5616820 -0.5089038 -0.7157453 -0.5951056 -0.5091475 -0.7670870 -0.6387177 -0.7220690 -0.6015949 -0.7345885 -0.7271677 -0.6831145 -0.5145699 -0.6466623 -0.5097464 -0.5188008 -0.6997429 -0.7253103 -0.7516151 -0.7441950
STANDING            3 0.2734287 -0.01785607 -0.1064926 -0.6234136 -0.4800159 -0.6536256 0.7078144 -0.02605905  0.04809379 -0.9664576 -0.9445645 -0.9269663 0.07017313  0.0144664329 -0.0005268189 -0.6354847 -0.5572119 -0.7960662 -0.0248490683 -0.07435653 0.08668755 -0.6992622 -0.7630222 -0.7094834 -0.09915546 -0.04019239 -0.05211783 -0.6893284 -0.8426599 -0.7430285 -0.56314080 -0.5912248 -0.56314080 -0.5912248 -0.6501824 -0.6076582 -0.643150122 -0.67401029 -0.7840567 -0.8036614 -0.6257333 -0.5017799 -0.6996568 -0.6238050 -0.50275364 -0.6574438 -0.6458935 -0.5829499 -0.7801016 -0.6578441 -0.5598512 -0.8108060 -0.6420977 -0.7751450 -0.6707347 -0.7192766 -0.7585053 -0.7510089 -0.5790765 -0.6630798 -0.6047521 -0.6156437 -0.7168221 -0.7038394 -0.8100855 -0.8100327
WALKING_DOWNSTAIRS  4 0.2741831 -0.01480815 -0.1075214 -0.6052117 -0.5099294 -0.7094927 0.7065930  0.11259120  0.16413090 -0.9626370 -0.9414168 -0.9414034 0.07886378  0.0035134095 -0.0073737514 -0.6318531 -0.5840632 -0.8433532 -0.0289417907 -0.07872299 0.09571749 -0.7013977 -0.7982357 -0.7263742 -0.10785932 -0.04004276 -0.05780893 -0.7237886 -0.9025026 -0.7483691 -0.56158214 -0.6065560 -0.56158214 -0.6065560 -0.6561163 -0.6472500 -0.656291094 -0.70673849 -0.8191914 -0.8441871 -0.6288064 -0.5258346 -0.7552354 -0.5975513 -0.53466152 -0.7087640 -0.6520231 -0.6016962 -0.8251549 -0.6446220 -0.5938552 -0.8605447 -0.6418820 -0.8315275 -0.6893089 -0.7217492 -0.7828857 -0.7670896 -0.6020980 -0.6729483 -0.6350190 -0.6665067 -0.7456508 -0.7325863 -0.8388332 -0.8630969
STANDING            5 0.2791780 -0.01548335 -0.1056617 -0.5076910 -0.4027249 -0.6464436 0.6981537  0.11231311  0.09216072 -0.9646291 -0.9399738 -0.9420787 0.08410199  0.0017656830 -0.0029537113 -0.5758905 -0.5065444 -0.7845620 -0.0294516874 -0.07743164 0.08662671 -0.7099557 -0.7056383 -0.6065898 -0.10352288 -0.04906245 -0.05062582 -0.6625813 -0.7741143 -0.5646808 -0.46086642 -0.5216235 -0.46086642 -0.5216235 -0.5893139 -0.5890313 -0.602770285 -0.66407838 -0.7073835 -0.7341875 -0.5512377 -0.4402324 -0.6961718 -0.4928299 -0.42216217 -0.6493512 -0.6047699 -0.5509920 -0.7687624 -0.5840136 -0.4915004 -0.7988356 -0.6322393 -0.7170622 -0.5373291 -0.7357386 -0.7022904 -0.6693537 -0.5285030 -0.5942595 -0.5731762 -0.6134851 -0.6773558 -0.7157311 -0.7488293 -0.7356106
STANDING            6 0.2723766 -0.01756970 -0.1159945 -0.5050861 -0.3684037 -0.6725120 0.6887021  0.01620555  0.04752000 -0.9588987 -0.9509349 -0.9379102 0.08138336  0.0004792811 -0.0022589630 -0.5314683 -0.4544375 -0.7389552 -0.0433611785 -0.07061291 0.09731303 -0.6538007 -0.6262521 -0.5999102 -0.08291600 -0.04549210 -0.05336103 -0.5460100 -0.6776360 -0.5269083 -0.46477001 -0.4837906 -0.46477001 -0.4837906 -0.5514137 -0.5029351 -0.549494852 -0.57983782 -0.6219362 -0.6444745 -0.5061749 -0.3920414 -0.6837259 -0.5066803 -0.39667779 -0.6943652 -0.5493943 -0.5035590 -0.7208672 -0.5553462 -0.4378375 -0.7557511 -0.5372014 -0.6211887 -0.5076042 -0.6928624 -0.6332362 -0.6730203 -0.4739749 -0.5709103 -0.4948823 -0.5167113 -0.5791301 -0.6573687 -0.6518869 -0.6601759
STANDING            7 0.2702117 -0.01879049 -0.1124924 -0.5775183 -0.5464034 -0.4564736 0.6812891 -0.04202215  0.03421607 -0.9565382 -0.9553126 -0.9233047 0.08318296  0.0076090977 -0.0079172570 -0.6151314 -0.6229974 -0.6643369 -0.0518716929 -0.06460771 0.09776717 -0.6871555 -0.6524087 -0.6633408 -0.09420374 -0.04144014 -0.06103079 -0.7017312 -0.6749201 -0.7508087 -0.51131204 -0.5106699 -0.51131204 -0.5106699 -0.6228158 -0.5505602 -0.581899898 -0.59867080 -0.7131913 -0.6580178 -0.5930113 -0.5635478 -0.5310059 -0.5723475 -0.56704698 -0.4607921 -0.6375219 -0.6416873 -0.6425157 -0.6267857 -0.6285316 -0.6848564 -0.6437676 -0.6304193 -0.6550834 -0.7038836 -0.6711619 -0.6989495 -0.5183239 -0.5838198 -0.5533600 -0.5506833 -0.6288773 -0.6509236 -0.6688792 -0.6689634
STANDING            8 0.2707591 -0.01818950 -0.1068096 -0.5829589 -0.3493837 -0.4994727 0.6474982  0.03032111  0.08365424 -0.9542567 -0.9484465 -0.9231807 0.08421575  0.0008603016 -0.0196719913 -0.5759931 -0.4587249 -0.6683568  0.0035905390 -0.09107751 0.06408676 -0.6562192 -0.5709412 -0.5113920 -0.10496986 -0.04009222 -0.05828871 -0.6749845 -0.6830869 -0.6959703 -0.46852259 -0.5540390 -0.46852259 -0.5540390 -0.5342486 -0.5644720 -0.476214944 -0.58142289 -0.6736255 -0.7158384 -0.5818314 -0.3749442 -0.5509794 -0.5853435 -0.37865646 -0.5132063 -0.5916350 -0.4959062 -0.6442858 -0.5985462 -0.4563684 -0.6914809 -0.6013824 -0.5759385 -0.5255629 -0.6752754 -0.5730873 -0.5539686 -0.5121068 -0.6516381 -0.5292449 -0.6180274 -0.6099843 -0.6366739 -0.7021562 -0.7557173
WALKING_DOWNSTAIRS  9 0.2703138 -0.02094666 -0.1012338 -0.5556565 -0.5758879 -0.5061118 0.6708455 -0.04674470  0.10435365 -0.9587847 -0.9499381 -0.9205543 0.08401714  0.0067848585 -0.0010299809 -0.5783052 -0.6789239 -0.7216101 -0.0701318155 -0.07298843 0.10909291 -0.6764524 -0.6704982 -0.5875577 -0.08922549 -0.03973444 -0.05340288 -0.7617109 -0.7732739 -0.7446560 -0.50518347 -0.5530383 -0.50518347 -0.5530383 -0.6216082 -0.6088621 -0.550201867 -0.66319839 -0.7629796 -0.7861769 -0.5792584 -0.6102678 -0.5921191 -0.5479957 -0.58676608 -0.5010740 -0.6213771 -0.6997666 -0.7029319 -0.5728199 -0.6790659 -0.7391399 -0.6398632 -0.6839243 -0.6126805 -0.6906899 -0.6672032 -0.6194686 -0.5531864 -0.6244568 -0.6091937 -0.6116193 -0.7008631 -0.6977294 -0.7864740 -0.8012963
WALKING_DOWNSTAIRS 10 0.2768485 -0.01783579 -0.1113015 -0.5378077 -0.4974059 -0.6147770 0.6429057 -0.07402485  0.05520472 -0.9658081 -0.9545241 -0.9387064 0.07981086  0.0129143257 -0.0113556968 -0.5293832 -0.5402366 -0.7507293 -0.0185023696 -0.08464037 0.09102650 -0.6739056 -0.5913332 -0.5981423 -0.10815083 -0.04242200 -0.05555213 -0.7032435 -0.7686418 -0.6868003 -0.50250021 -0.5453488 -0.50250021 -0.5453488 -0.5777619 -0.5293405 -0.521819802 -0.62440837 -0.7344658 -0.7688218 -0.5322895 -0.4946515 -0.6550623 -0.5411702 -0.53213517 -0.6258718 -0.5472430 -0.5551046 -0.7216897 -0.5534035 -0.5562717 -0.7791682 -0.6203792 -0.6483506 -0.5674567 -0.6926543 -0.5659437 -0.6459477 -0.5187340 -0.6331961 -0.5151408 -0.5530274 -0.6614966 -0.6660146 -0.7677801 -0.7871443
